Month,Cash,Stocks,Options,ETFs,Total assets,Opening balance,Deposits,Withdrawals,Change in balance,Closing balance,Change in balance since open,Cumulative net P/L,Portfolio return,SPY return
Aug '19,27208.64,12929.61,0,1124.4,41262.65,41060.17,0,0,202.49,41262.66,,202.49,0.50,-1.81
Sep '19,27527.06,13250.97,-349.56,1101.45,41529.92,41262.66,0,0,267.27,41529.93,,469.76,0.60,1.72
Oct '19,4170.1,12051.64,-96.1,25806.59,41932.23,41529.92,0,0,402.29,41932.21,,872.05,0.90,2.04
Nov '19,35722.59,10953.7,-1715.26,0,44961.03,41932.21,14276,-13276,2028.82,44961.03,,2900.87,4.80,3.40
Dec '19,44384.4,7142.81,-1731.57,-5667.54,44128.1,44961.03,0,0,-832.92,44128.11,,2067.95,-1.90,2.86
Jan '20,48082.04,5114.08,-6061.4,0,47134.72,44128.11,5200,0,-2193.39,47134.72,,-125.44,-4.50,-0.16
Feb '20,12803.12,12304.05,-8526.94,21423.16,38003.39,47134.72,0,0,-9131.32,38003.4,,-9256.76,-19.20,-8.41
Mar '20,15572.67,11082.09,-11214.26,15392.89,30833.39,38003.4,0,0,-7170,30833.4,,-16426.76,-19.10,-12.51
Apr '20,25664.99,12265.67,-11260.4,10676.05,37346.31,30833.4,0,0,6512.9,37346.3,,-9913.86,21.00,12.68
May '20,16840.28,12599.83,-7876.44,19259.41,40823.08,37346.3,0,0,3476.78,40823.08,,-6437.08,9.20,4.50
Jun '20,22444.28,12921.43,-7637.58,18901.85,46629.98,40823.08,5500,0,306.9,46629.98,,-6130.18,0.90,1.84
Jul '20,34284.25,14043.76,20330.9,-9372.25,59286.66,46629.98,10298.33,0,2358.34,59286.65,-2088.55,-3771.84,3.60,5.51
Aug '20,39399.65,14269.81,-8487.72,18829.57,64011.31,59286.65,0,0,4724.65,64011.3,2914.1,952.81,8.60,7.01
Sep '20,45551,14475.26,-11216.28,18057.95,66867.93,64011.31,0,0,2856.62,66867.93,5561.07,3809.43,4.60,-3.92
Oct '20,57729.53,13960.51,-17707.6,9874.34,63856.78,66867.93,0,0,-3011.15,63856.78,2548.38,798.28,-5.00,-2.66
